Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0178775259	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0357550519	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0536325778	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0715101038	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.0893876297	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.107265156	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.125142682	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.143020208	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.160897733	0	0	0	0	0	0	0	0	0	0	3
10	2	0	0.178775259	0	0	0	0	0	0	0	0	0	0	3
11	2	0	0.196652785	0	0	0	0	0	0	0	0	0	0	3
12	2	0	0.214530311	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.232407837	0	0	0	0	0	0	0	0	0	0	3
14	3	0	0.250285363	0	0	0	0	0	0	0	0	0	0	3
15	3	0	0.268162889	0	0	0	0	0	0	0	0	0	0	3
16	3	0	0.286040415	0	0	0	0	0	0	0	0	0	0	3
17	3	0	0.303917941	0	0	0	0	0	0	0	0	0	0	3
18	3	0	0.321795467	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.339672993	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.357550519	0	0	0	0	0	0	0	0	0	0	3
21	4	0	0.375428045	0	0	0	0	0	0	0	0	0	0	3
22	4	0	0.393305571	0	0	0	0	0	0	0	0	0	0	3
23	4	0	0.411183097	0	0	0	0	0	0	0	0	0	0	3
24	4	0	0.429060623	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.446938148	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.464815674	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.4826932	0	0	0	0	0	0	0	0	0	0	3
28	5	0	0.500570726	0	0	0	0	0	0	0	0	0	0	3
29	5	0	0.518448252	0	0	0	0	0	0	0	0	0	0	3
30	5	0	0.536325778	0	0	0	0	0	0	0	0	0	0	3
31	5	0	0.554203304	0	0	0	0	0	0	0	0	0	0	3
32	6	0	0.57208083	0	0	0	0	0	0	0	0	0	0	3
33	6	0	0.589958356	0	0	0	0	0	0	0	0	0	0	3
34	6	0	0.607835882	0	0	0	0	0	0	0	0	0	0	3
35	6	0	0.625713408	0	0	0	0	0	0	0	0	0	0	3
36	6	0	0.643590934	0	0	0	0	0	0	0	0	0	0	3
37	6	0	0.66146846	0	0	0	0	0	0	0	0	0	0	3
38	6	0	0.679345986	0	0	0	0	0	0	0	0	0	0	3
39	7	0	0.697223512	0	0	0	0	0	0	0	0	0	0	3
40	7	0	0.715101038	0	0	0	0	0	0	0	0	0	0	3
41	7	0	0.732978564	0	0	0	0	0	0	0	0	0	0	3
42	7	0	0.750856089	0	0	0	0	0	0	0	0	0	0	3
43	7	0	0.768733615	0	0	0	0	0	0	0	0	0	0	3
44	7	0	0.786611141	0	0	0	0	0	0	0	0	0	0	3
45	7	0	0.804488667	0	0	0	0	0	0	0	0	0	0	3
46	8	0	0.822366193	0	0	0	0	0	0	0	0	0	0	3
47	8	0	0.840243719	0	0	0	0	0	0	0	0	0	0	3
48	8	0	0.858121245	0	0	0	0	0	0	0	0	0	0	3
49	8	0	0.875998771	0	0	0	0	0	0	0	0	0	0	3
50	8	0	0.893876297	0	0	0	0	0	0	0	0	0	0	3
51	8	0	0.911753823	0	0	0	0	0	0	0	0	0	0	3
52	8	0	0.929631349	0	0	0	0	0	0	0	0	0	0	3
53	9	0	0.947508875	0	0	0	0	0	0	0	0	0	0	3
54	9	0	0.965386401	0	0	0	0	0	0	0	0	0	0	3
55	9	0	0.983263927	0	0	0	0	0	0	0	0	0	0	3
56	9	0	1.00114145	0	0	0	0	0	5e-06	0	100	0	0	3
57	9	0	1.01901898	0	0	0	0	0	5e-06	0	100	0	0	3
58	9	0	1.0368965	0	0	0	0	0	5e-06	0	100	0	0	3
59	9	0	1.05477403	0	0	0	0	0	5e-06	0	100	0	0	3
60	10	0	1.07265156	0	0	0	0	0	5e-06	0	100	0	0	3
61	10	0	1.09052908	0	0	0	0	0	5e-06	0	100	0	0	3
62	10	0	1.10840661	0	0	0	0	0	5e-06	0	100	0	0	3
63	10	0	1.12628413	0	0	0	0	0	5e-06	0	100	0	0	3
64	10	0	1.14416166	0	0	0	0	0	5e-06	0	100	0	0	3
65	10	0	1.16203919	0	0	0	0	0	5e-06	0	100	0	0	3
66	10	0	1.17991671	0	0	0	0	0	5e-06	0	100	0	0	3
67	10	0	1.19779424	0	0	0	0	0	5e-06	0	100	0	0	3
68	11	0	1.21567176	0	0	0	0	0	5e-06	0	100	0	0	3
69	11	0	1.23354929	0	0	0	0	0	5e-06	0	100	0	0	3
70	11	0	1.25142682	0	0	0	0	0	5e-06	0	100	0	0	3
71	11	0	1.26930434	0	0	0	0	0	5e-06	0	100	0	0	3
72	11	0	1.28718187	0	0	0	0	0	5e-06	0	100	0	0	3
73	11	0	1.30505939	0	0	0	0	0	5e-06	0	100	0	0	3
74	11	0	1.32293692	0	0	0	0	0	5e-06	0	100	0	0	3
75	12	0	1.34081445	0	0	0	0	0	5e-06	0	100	0	0	3
76	12	0	1.35869197	0	0	0	0	0	5e-06	0	100	0	0	3
77	12	0	1.3765695	0	0	0	0	0	5e-06	0	100	0	0	3
78	12	0	1.39444702	0	0	0	0	0	5e-06	0	100	0	0	3
79	12	0	1.41232455	0	0	0	0	0	5e-06	0	100	0	0	3
80	12	0	1.43020208	0	0	0	0	0	5e-06	0	100	0	0	3
81	12	0	1.4480796	0	0	0	0	0	5e-06	0	100	0	0	3
82	13	0	1.46595713	0	0	0	0	0	5e-06	0	100	0	0	3
83	13	0	1.48383465	0	0	0	0	0	5e-06	0	100	0	0	3
84	13	0	1.50171218	0	0	0	0	0	5e-06	0	100	0	0	3
85	13	0	1.5195897	0	0	0	0	0	5e-06	0	100	0	0	3
86	13	0	1.53746723	0	0	0	0	0	5e-06	0	100	0	0	3
