Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0178775259	0.00114287163	0.00114287163	0.00114287163	0.00114287163	0	0	0	0	0	0	3
2	1	0	0.0357550519	2.47825418e-05	0.000583827087	2.47825418e-05	0.00114287163	0.000559044545	0	0	0	0	0	3
3	1	0	0.0536325778	-2.83767244e-06	0.000388272167	-2.83767244e-06	0.00114287163	0.000754599464	0	0	0	0	0	3
4	1	0	0.0715101038	-2.03692322e-06	0.000290694894	-2.83767244e-06	0.00114287163	0.000852176737	0	0	0	0	0	3
5	1	0	0.0893876297	-8.518777e-07	0.00023238554	-2.83767244e-06	0.00114287163	0.000910486091	0	0	0	0	0	3
6	2	0	0.107265156	1.08944081e-06	0.00019383619	-2.83767244e-06	0.00114287163	0.000949035441	0	0	0	0	0	3
7	2	0	0.125142682	2.76299898e-06	0.00016654002	-2.83767244e-06	0.00114287163	0.000976331611	0	0	0	0	0	3
8	2	0	0.143020208	2.31078603e-06	0.000146011366	-2.83767244e-06	0.00114287163	0.000996860266	0	0	0	0	0	3
9	2	0	0.160897733	3.81634738e-06	0.000130211919	-2.83767244e-06	0.00114287163	0.00101265971	0	0	0	0	0	3
10	2	0	0.178775259	1.81702237e-06	0.00011737243	-2.83767244e-06	0.00114287163	0.0010254992	0	0	0	0	0	3
11	2	0	0.196652785	1.65158704e-06	0.000106852353	-2.83767244e-06	0.00114287163	0.00103601928	0	0	0	0	0	3
12	2	0	0.214530311	2.52010381e-05	0.000100048077	-2.83767244e-06	0.00114287163	0.00104282355	0	0	0	0	0	3
13	3	0	0.232407837	2.36432846e-06	9.25339422e-05	-2.83767244e-06	0.00114287163	0.00105033769	0	0	0	0	0	3
14	3	0	0.250285363	2.71449906e-06	8.61182677e-05	-2.83767244e-06	0.00114287163	0.00105675336	0	0	0	0	0	3
15	3	0	0.268162889	6.69150756e-07	8.04216599e-05	-2.83767244e-06	0.00114287163	0.00106244997	0	0	0	0	0	3
16	3	0	0.286040415	5.00430126e-07	7.54265831e-05	-2.83767244e-06	0.00114287163	0.00106744505	0	0	0	0	0	3
17	3	0	0.303917941	-2.67409343e-06	7.08324256e-05	-2.83767244e-06	0.00114287163	0.00107203921	0	0	0	0	0	3
18	3	0	0.321795467	-1.02902516e-06	6.68401228e-05	-2.83767244e-06	0.00114287163	0.00107603151	0	0	0	0	0	3
19	4	0	0.339672993	3.17500868e-07	6.33389322e-05	-2.83767244e-06	0.00114287163	0.0010795327	0	0	0	0	0	3
20	4	0	0.357550519	6.98023717e-07	6.02068867e-05	-2.83767244e-06	0.00114287163	0.00108266474	0	0	0	0	0	3
21	4	0	0.375428045	9.64816213e-07	5.73858358e-05	-2.83767244e-06	0.00114287163	0.0010854858	0	0	0	0	0	3
22	4	0	0.393305571	2.90078045e-06	5.49092423e-05	-2.83767244e-06	0.00114287163	0.00108796239	0	0	0	0	0	3
