Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0178775259	524974.965	524974.965	524974.965	524974.965	0	0	0	0	0	0	3
2	1	0	0.0357550519	308935.714	416955.339	308935.714	524974.965	108019.626	0	0	0	0	0	3
3	1	0	0.0536325778	252929.44	362280.039	252929.44	524974.965	162694.926	0	0	0	0	0	3
4	1	0	0.0715101038	240129.425	331742.386	240129.425	524974.965	193232.579	0	0	0	0	0	3
5	1	0	0.0893876297	246204.121	314634.733	240129.425	524974.965	210340.232	0	0	0	0	0	3
6	2	0	0.107265156	244289.899	302910.594	240129.425	524974.965	222064.371	0	0	0	0	0	3
7	2	0	0.125142682	250573.281	295433.835	240129.425	524974.965	229541.13	0	0	0	0	0	3
8	2	0	0.143020208	254135.563	290271.551	240129.425	524974.965	234703.414	0	0	0	0	0	3
9	2	0	0.160897733	260316.807	286943.246	240129.425	524974.965	238031.719	0	0	0	0	0	3
10	2	0	0.178775259	264781.502	284727.072	240129.425	524974.965	240247.893	0	0	0	0	0	3
11	2	0	0.196652785	273525.083	283708.709	240129.425	524974.965	241266.256	0	0	0	0	0	3
12	2	0	0.214530311	280045.417	283403.435	240129.425	524974.965	241571.53	0	0	0	0	0	3
13	3	0	0.232407837	287546.052	283722.097	240129.425	524974.965	241571.53	0	0	0	0	0	3
14	3	0	0.250285363	292576.66	284354.566	240129.425	524974.965	241571.53	0	0	0	0	0	3
15	3	0	0.268162889	297800.056	285250.932	240129.425	524974.965	241571.53	0	0	0	0	0	3
16	3	0	0.286040415	301662.386	286276.648	240129.425	524974.965	241571.53	0	0	0	0	0	3
17	3	0	0.303917941	306871.741	287488.124	240129.425	524974.965	241571.53	0	0	0	0	0	3
18	3	0	0.321795467	313007.886	288905.889	240129.425	524974.965	241571.53	0	0	0	0	0	3
19	4	0	0.339672993	318294.617	290452.664	240129.425	524974.965	241571.53	0	0	0	0	0	3
20	4	0	0.357550519	323399.31	292099.996	240129.425	524974.965	241571.53	0	0	0	0	0	3
21	4	0	0.375428045	327288.209	293775.625	240129.425	524974.965	241571.53	0	0	0	0	0	3
22	4	0	0.393305571	333984.509	295603.302	240129.425	524974.965	241571.53	0	0	0	0	0	3
23	4	0	0.411183097	338550.034	297470.551	240129.425	524974.965	241571.53	0	0	0	0	0	3
24	4	0	0.429060623	343066.748	299370.393	240129.425	524974.965	241571.53	0	0	0	0	0	3
25	5	0	0.446938148	345802.159	301227.663	240129.425	524974.965	241571.53	0	0	0	0	0	3
26	5	0	0.464815674	346735.275	302977.956	240129.425	524974.965	241571.53	0	0	0	0	0	3
27	5	0	0.4826932	347524.946	304627.845	240129.425	524974.965	241571.53	0	0	0	0	0	3
28	5	0	0.500570726	347989.99	306176.493	240129.425	524974.965	241571.53	0	0	0	0	0	3
29	5	0	0.518448252	347960.27	299854.539	240129.425	347989.99	107860.565	0	0	0	0	0	3
30	5	0	0.536325778	348320.194	301261.128	240129.425	348320.194	78876.6048	0	0	0	0	0	3
31	5	0	0.554203304	347263.699	304630.208	240129.425	348320.194	48338.9511	0	0	0	0	0	3
32	6	0	0.57208083	347160.227	308452.737	244289.899	348320.194	31231.2982	0	0	0	0	0	3
33	6	0	0.589958356	346947.395	312050.711	244289.899	348320.194	28647.2766	0	0	0	0	0	3
34	6	0	0.607835882	347012.506	315719.376	250573.281	348320.194	32315.9411	0	0	0	0	0	3
35	6	0	0.625713408	347088.198	319166.337	254135.563	348320.194	35762.9025	0	0	0	0	0	3
36	6	0	0.643590934	347237.298	322491.399	260316.807	348320.194	39087.9644	0	0	0	0	0	3
37	6	0	0.66146846	347177.838	325593.579	264781.502	348320.194	42190.1441	0	0	0	0	0	3
38	6	0	0.679345986	347423.734	328545.087	273525.083	348320.194	45141.6524	0	0	0	0	0	3
39	7	0	0.697223512	347359.175	331182.019	280045.417	348320.194	47778.5843	0	0	0	0	0	3
40	7	0	0.715101038	347671.302	333597.229	287546.052	348320.194	49875.1316	0	0	0	0	0	3
41	7	0	0.732978564	347702.415	335745.671	292576.66	348320.194	51391.1043	0	0	0	0	0	3
42	7	0	0.750856089	347932.148	337722.652	297800.056	348320.194	50520.1376	0	0	0	0	0	3
43	7	0	0.768733615	348125.675	339519.996	301662.386	348320.194	46657.8076	0	0	0	0	0	3
44	7	0	0.786611141	348239.694	341183.471	306871.741	348320.194	41448.4526	0	0	0	0	0	3
45	7	0	0.804488667	348315.067	342663.59	313007.886	348320.194	35312.3073	0	0	0	0	0	3
46	8	0	0.822366193	348496.594	343931.044	318294.617	348496.594	30201.9772	0	0	0	0	0	3
47	8	0	0.840243719	348517.881	345010.446	323399.31	348517.881	25118.5716	0	0	0	0	0	3
48	8	0	0.858121245	348734.403	345915.271	327288.209	348734.403	21446.1942	0	0	0	0	0	3
49	8	0	0.875998771	348743.073	346681.516	333984.509	348743.073	14758.5647	0	0	0	0	0	3
50	8	0	0.893876297	348973.952	347216.853	338550.034	348973.952	10423.9181	0	0	0	0	0	3
51	8	0	0.911753823	349018.691	347590.734	343066.748	349018.691	5951.94275	0	0	0	0	0	3
52	8	0	0.929631349	349239.561	347811.191	345802.159	349239.561	3437.40227	0	0	0	0	0	3
53	9	0	0.947508875	349235.215	347933.801	346735.275	349239.561	2504.28605	0	0	0	0	0	3
54	9	0	0.965386401	349390.806	348028.641	346947.395	349390.806	2443.41101	0	0	0	0	0	3
55	9	0	0.983263927	349432.144	348096.755	346947.395	349432.144	2484.74847	0	0	0	0	0	3
56	9	0	1.00114145	349608.005	348154.541	346947.395	349608.005	2660.6098	3284.35741	0	100	0	0	3
57	9	0	1.01901898	349567.832	348211.954	346947.395	349608.005	2660.6098	3284.35741	0	100	0	0	3
58	9	0	1.0368965	349680.804	348260.548	346947.395	349680.804	2733.40878	3285.44939	0	100	0	0	3
59	9	0	1.05477403	349741.447	348349.039	346947.395	349741.447	2794.05174	3286.41982	0	100	0	0	3
60	10	0	1.07265156	349932.03	348448.032	346947.395	349932.03	2984.63491	3284.35741	0	100	0	0	3
61	10	0	1.09052908	349960.577	348555.645	347012.506	349960.577	2948.07124	3284.35741	0	100	0	0	3
62	10	0	1.10840661	350032.969	348663.519	347088.198	350032.969	2944.77105	3284.35741	0	100	0	0	3
63	10	0	1.12628413	350040.033	348768.942	347177.838	350040.033	2862.19507	3284.35741	0	100	0	0	3
64	10	0	1.14416166	350216.047	348875.325	347177.838	350216.047	3038.20937	3284.35741	0	100	0	0	3
65	10	0	1.16203919	350195.768	348983.109	347359.175	350216.047	2856.8729	3284.35741	0	100	0	0	3
66	10	0	1.17991671	350304.701	349086	347359.175	350304.701	2945.52665	3284.35741	0	100	0	0	3
67	10	0	1.19779424	350329.969	349192.1	347671.302	350329.969	2658.66731	3284.35741	0	100	0	0	3
68	11	0	1.21567176	350457.635	349291.612	347702.415	350457.635	2755.21922	3284.35741	0	100	0	0	3
69	11	0	1.23354929	350463.495	349390.222	347932.148	350463.495	2531.34706	3284.35741	0	100	0	0	3
70	11	0	1.25142682	350594.157	349485.294	348125.675	350594.157	2468.48258	3284.35741	0	100	0	0	3
71	11	0	1.26930434	350577.216	349572.849	348239.694	350594.157	2354.46332	3284.35741	0	100	0	0	3
72	11	0	1.28718187	350725.381	349661.623	348315.067	350725.381	2410.3144	3284.35741	0	100	0	0	3
73	11	0	1.30505939	350733.833	349748.008	348496.594	350733.833	2237.2395	3284.35741	0	100	0	0	3
74	11	0	1.32293692	350826.465	349831.218	348517.881	350826.465	2308.5835	3284.35741	0	100	0	0	3
75	12	0	1.34081445	350841.604	349914.208	348734.403	350841.604	2107.20067	3284.35741	0	100	0	0	3
76	12	0	1.35869197	350964.441	349993.852	348743.073	350964.441	2221.36821	3284.35741	0	100	0	0	3
77	12	0	1.3765695	350929.047	350071.922	348973.952	350964.441	1990.48941	3284.35741	0	100	0	0	3
78	12	0	1.39444702	351012.356	350144.723	349018.691	351012.356	1993.66493	3284.35741	0	100	0	0	3
79	12	0	1.41232455	351015.588	350216.04	349235.215	351015.588	1780.37273	3284.35741	0	100	0	0	3
80	12	0	1.43020208	351046.953	350280.59	349235.215	351046.953	1811.73738	3284.35741	0	100	0	0	3
81	12	0	1.4480796	351004.982	350343.796	349390.806	351046.953	1656.14646	3284.35741	0	100	0	0	3
82	13	0	1.46595713	351042.509	350402.785	349432.144	351046.953	1614.809	3284.35741	0	100	0	0	3
83	13	0	1.48383465	351008.862	350459.097	349567.832	351046.953	1479.12098	3284.35741	0	100	0	0	3
84	13	0	1.50171218	351046.703	350510.479	349567.832	351046.953	1479.12098	3284.35741	0	100	0	0	3
85	13	0	1.5195897	351023.516	350562.467	349680.804	351046.953	1366.14869	3284.35741	0	100	0	0	3
86	13	0	1.53746723	351058.377	350611.666	349741.447	351058.377	1316.93028	3284.35741	0	100	0	0	3
