Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0178775259	293.19964	293.19964	293.19964	293.19964	0	0	0	0	0	0	3
2	1	0	0.0357550519	293.199585	293.199613	293.199585	293.19964	2.76600804e-05	0	0	0	0	0	3
3	1	0	0.0536325778	293.199565	293.199597	293.199565	293.19964	4.34105788e-05	0	0	0	0	0	3
4	1	0	0.0715101038	293.199562	293.199588	293.199562	293.19964	5.2169744e-05	0	0	0	0	0	3
5	1	0	0.0893876297	293.199547	293.19958	293.199547	293.19964	6.03413903e-05	0	0	0	0	0	3
6	2	0	0.107265156	293.199539	293.199573	293.199539	293.19964	6.71255989e-05	0	0	0	0	0	3
7	2	0	0.125142682	293.199524	293.199566	293.199524	293.19964	7.41232996e-05	0	0	0	0	0	3
8	2	0	0.143020208	293.199512	293.199559	293.199512	293.19964	8.08509035e-05	0	0	0	0	0	3
9	2	0	0.160897733	293.199492	293.199552	293.199492	293.19964	8.83247305e-05	0	0	0	0	0	3
10	2	0	0.178775259	293.199469	293.199544	293.199469	293.19964	9.6615967e-05	0	0	0	0	0	3
11	2	0	0.196652785	293.199428	293.199533	293.199428	293.19964	0.000107146178	0	0	0	0	0	3
12	2	0	0.214530311	293.198211	293.199423	293.198211	293.19964	0.000217337937	0	0	0	0	0	3
13	3	0	0.232407837	293.196771	293.199219	293.196771	293.19964	0.000421342447	0	0	0	0	0	3
14	3	0	0.250285363	293.195878	293.19898	293.195878	293.19964	0.000659986734	0	0	0	0	0	3
15	3	0	0.268162889	293.194944	293.198711	293.194944	293.19964	0.00092908501	0	0	0	0	0	3
16	3	0	0.286040415	293.194448	293.198445	293.194448	293.19964	0.00119552471	0	0	0	0	0	3
17	3	0	0.303917941	293.193673	293.198164	293.193673	293.19964	0.00147621189	0	0	0	0	0	3
18	3	0	0.321795467	293.192716	293.197861	293.192716	293.19964	0.0017788497	0	0	0	0	0	3
19	4	0	0.339672993	293.191973	293.197551	293.191973	293.19964	0.002088786	0	0	0	0	0	3
20	4	0	0.357550519	293.191296	293.197239	293.191296	293.19964	0.00240157245	0	0	0	0	0	3
21	4	0	0.375428045	293.191179	293.19695	293.191179	293.19964	0.00269011416	0	0	0	0	0	3
22	4	0	0.393305571	293.190497	293.196657	293.190497	293.19964	0.00298342013	0	0	0	0	0	3
23	4	0	0.411183097	293.190333	293.196382	293.190333	293.19964	0.00325835025	0	0	0	0	0	3
24	4	0	0.429060623	293.190221	293.196125	293.190221	293.19964	0.00351504649	0	0	0	0	0	3
25	5	0	0.446938148	293.190533	293.195901	293.190221	293.19964	0.00373874243	0	0	0	0	0	3
26	5	0	0.464815674	293.191759	293.195742	293.190221	293.19964	0.00389808026	0	0	0	0	0	3
27	5	0	0.4826932	293.19303	293.195642	293.190221	293.19964	0.00399851247	0	0	0	0	0	3
28	5	0	0.500570726	293.194374	293.195596	293.190221	293.19964	0.0040437887	0	0	0	0	0	3
29	5	0	0.518448252	293.19581	293.19546	293.190221	293.199585	0.00415291798	0	0	0	0	0	3
30	5	0	0.536325778	293.197139	293.195372	293.190221	293.199565	0.00422452645	0	0	0	0	0	3
31	5	0	0.554203304	293.199416	293.195367	293.190221	293.199562	0.00422110045	0	0	0	0	0	3
32	6	0	0.57208083	293.201386	293.195432	293.190221	293.201386	0.0042129288	0	0	0	0	0	3
33	6	0	0.589958356	293.203264	293.195565	293.190221	293.203264	0.00420614459	0	0	0	0	0	3
34	6	0	0.607835882	293.204967	293.195759	293.190221	293.204967	0.00419914689	0	0	0	0	0	3
35	6	0	0.625713408	293.206554	293.19601	293.190221	293.206554	0.00419241929	0	0	0	0	0	3
36	6	0	0.643590934	293.20873	293.196339	293.190221	293.20873	0.00418494546	0	0	0	0	0	3
37	6	0	0.66146846	293.210756	293.196741	293.190221	293.210756	0.00417665423	0	0	0	0	0	3
38	6	0	0.679345986	293.212555	293.197209	293.190221	293.212555	0.00416612402	0	0	0	0	0	3
39	7	0	0.697223512	293.214275	293.197739	293.190221	293.214275	0.00405593226	0	0	0	0	0	3
40	7	0	0.715101038	293.215784	293.198366	293.190221	293.215784	0.00385192775	0	0	0	0	0	3
41	7	0	0.732978564	293.21785	293.199119	293.190221	293.21785	0.0037523477	0	0	0	0	0	3
42	7	0	0.750856089	293.219634	293.199968	293.190221	293.219634	0.0046007947	0	0	0	0	0	3
43	7	0	0.768733615	293.221203	293.200906	293.190221	293.221203	0.00553862686	0	0	0	0	0	3
44	7	0	0.786611141	293.222587	293.20191	293.190221	293.222587	0.00654359726	0	0	0	0	0	3
45	7	0	0.804488667	293.223793	293.202986	293.190221	293.223793	0.00761931832	0	0	0	0	0	3
46	8	0	0.822366193	293.224808	293.204132	293.190221	293.224808	0.008765442	0	0	0	0	0	3
47	8	0	0.840243719	293.225706	293.205337	293.190221	293.225706	0.00997020049	0	0	0	0	0	3
48	8	0	0.858121245	293.226434	293.206592	293.190221	293.226434	0.0112251447	0	0	0	0	0	3
49	8	0	0.875998771	293.227094	293.207875	293.190221	293.227094	0.0125078185	0	0	0	0	0	3
50	8	0	0.893876297	293.22761	293.2092	293.190221	293.22761	0.0138332768	0	0	0	0	0	3
51	8	0	0.911753823	293.228088	293.210549	293.190221	293.228088	0.01518164	0	0	0	0	0	3
52	8	0	0.929631349	293.22846	293.211914	293.190533	293.22846	0.0165473262	0	0	0	0	0	3
53	9	0	0.947508875	293.228824	293.213282	293.191759	293.228824	0.0179148593	0	0	0	0	0	3
54	9	0	0.965386401	293.229105	293.214616	293.19303	293.229105	0.0192486459	0	0	0	0	0	3
55	9	0	0.983263927	293.229371	293.215913	293.194374	293.229371	0.0205465209	0	0	0	0	0	3
56	9	0	1.00114145	293.229571	293.21717	293.19581	293.229571	0.0218035427	0.00118048274	0	5.4	0	0	3
57	9	0	1.01901898	293.229789	293.218384	293.197139	293.229789	0.023017062	0.00118702495	0	5.1	0	0	3
58	9	0	1.0368965	293.229945	293.219556	293.199416	293.229945	0.024188716	0.00118937249	0	4.9	0	0	3
59	9	0	1.05477403	293.230093	293.220651	293.201386	293.230093	0.0252191962	0.00119163726	0	4.7	0	0	3
60	10	0	1.07265156	293.230197	293.22168	293.203264	293.230197	0.0261154458	0.00119354753	0	4.5	0	0	3
61	10	0	1.09052908	293.230316	293.222646	293.204967	293.230316	0.0253496422	0.00119541033	0	4.7	0	0	3
62	10	0	1.10840661	293.230414	293.223555	293.206554	293.230414	0.0238594042	0.00119713881	0	5	0	0	3
63	10	0	1.12628413	293.230514	293.224411	293.20873	293.230514	0.02178361	0.00119880214	0	5.5	0	0	3
64	10	0	1.14416166	293.230568	293.225191	293.210756	293.230568	0.0198119516	0.00120025311	0	6	0	0	3
65	10	0	1.16203919	293.230652	293.225901	293.212555	293.230652	0.0180976484	0.00120166191	0	6.6	0	0	3
66	10	0	1.17991671	293.230704	293.22655	293.214275	293.230704	0.0164297071	0.00120294565	0	7.3	0	0	3
67	10	0	1.19779424	293.230764	293.227139	293.215784	293.230764	0.0149798662	0.00120415896	0	8	0	0	3
68	11	0	1.21567176	293.230799	293.227675	293.21785	293.230799	0.0129490399	0.00120525667	0	9.3	0	0	3
69	11	0	1.23354929	293.230853	293.228139	293.219634	293.230853	0.0112191131	0.00120631152	0	10.7	0	0	3
70	11	0	1.25142682	293.230876	293.228541	293.221203	293.230876	0.00967319707	0.00120726448	0	12.4	0	0	3
71	11	0	1.26930434	293.230927	293.228888	293.222587	293.230927	0.00833973439	0.00120819187	0	14.4	0	0	3
72	11	0	1.28718187	293.230941	293.229186	293.223793	293.230941	0.00714760814	0.00120902922	0	16.9	0	0	3
73	11	0	1.30505939	293.230978	293.229443	293.224808	293.230978	0.00617041999	0.00120983442	0	19.6	0	0	3
74	11	0	1.32293692	293.230997	293.229664	293.225706	293.230997	0.00529169106	0.00121058198	0	22.8	0	0	3
75	12	0	1.34081445	293.231032	293.229854	293.226434	293.231032	0.00459821721	0.00121130587	0	26.3	0	0	3
76	12	0	1.35869197	293.23104	293.230019	293.227094	293.23104	0.00394598575	0.00121196903	0	30.7	0	0	3
77	12	0	1.3765695	293.231079	293.230161	293.22761	293.231079	0.00346861463	0.0012126243	0	34.9	0	0	3
78	12	0	1.39444702	293.231093	293.230285	293.228088	293.231093	0.0030053672	0.00121323927	0	40.3	0	0	3
79	12	0	1.41232455	293.231119	293.230394	293.22846	293.231119	0.00265891191	0.00121383511	0	45.6	0	0	3
80	12	0	1.43020208	293.231139	293.230489	293.228824	293.231139	0.00231492749	0.00121401597	0	52.4	0	0	3
81	12	0	1.4480796	293.231171	293.230573	293.229105	293.231171	0.00206626656	0.00121275008	0	58.6	0	0	3
82	13	0	1.46595713	293.231183	293.230647	293.229371	293.231183	0.00181183602	0.00121012777	0	66.7	0	0	3
83	13	0	1.48383465	293.231208	293.230713	293.229571	293.231208	0.00163779744	0.00120623534	0	73.6	0	0	3
84	13	0	1.50171218	293.231219	293.230772	293.229789	293.231219	0.00143048487	0.00120109375	0	83.9	0	0	3
