Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.0065049857	0.00123941178	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
2	1	0.0130116621	0.00247882357	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
3	1	0.0195296611	0.00371823535	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
4	1	0.0261310432	0.00495764714	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
5	1	0.0333335843	0.00619705892	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
6	1	0.0497695799	0.0074364707	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
7	1	0.084097953	0.00867588249	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
8	1	0.132403876	0.00991529427	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
9	1	0.183925118	0.0111547061	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
10	1	0.235923186	0.0123941178	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
11	1	0.314039105	0.0136335296	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
12	1	0.392168326	0.0148729414	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
13	1	0.470299348	0.0161123532	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
14	1	0.548430616	0.017351765	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
15	1	0.626561918	0.0185911768	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
16	1	0.74378451	0.0198305885	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
17	1	0.861007106	0.0210700003	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
18	1	0.978229704	0.0223094121	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
19	1	1	0.0235488239	0.9999	0.9999	0.9999	0.9999	0	0	0	0	0	0	3
