Iteration	CPUTime	PhysTime	Travels
1	1	0.0065049857	0.00123941178
2	1	0.0130116621	0.00247882357
3	1	0.0195296611	0.00371823535
4	1	0.0261310432	0.00495764714
5	1	0.0333335843	0.00619705892
6	1	0.0497695799	0.0074364707
7	1	0.084097953	0.00867588249
8	1	0.132403876	0.00991529427
9	1	0.183925118	0.0111547061
10	1	0.235923186	0.0123941178
11	1	0.314039105	0.0136335296
12	1	0.392168326	0.0148729414
13	1	0.470299348	0.0161123532
14	1	0.548430616	0.017351765
15	1	0.626561918	0.0185911768
16	1	0.74378451	0.0198305885
17	1	0.861007106	0.0210700003
18	1	0.978229704	0.0223094121
19	1	1	0.0235488239
